AT,V,AP,RH,PE,TCN
68.o753o656149353,56.15403369624509,1046.2903190359893,82.1652647346235,LOW,Simo Sikka
18.26,69.94,1004.1,97.39,443.59,Antoin Tessier
72.122,56.89,1014.39,84.89,441.9,Daniel Smithson
7.64,38.18,1017.65,78.51,484.45,Christopher Clapman
12.43,40.27,1007.08,61.56,470.92,Marc Wolf
14.26,44.47,1028.11,66.81,465.22,Christopher Clapman
7.o6,41.74,1021.95,90.38,448.97,Marc Wolf
11.95,41.58,1015.83,89.35,464.57,Marc Wolf
31.o5,69.13,1000.38,58.49,426.31,Antoin Tessier
23.56,60.77,1017.93,76.34,443.13,Antoin Tessier
75.9o2,60.84,1018.5,61.73,442.72,Daniel Smithson
12.38,44.2,1020.23,81.5,467.04,Antoin Tessier
74.876,73.67,1007.26,88.16,438.42,Daniel Smithson
44.798,43.13,1018.96,87.82,486.11,Daniel Smithson
6.2o9o287933944674,43.6797480027158,1095.661644374401,88.1249505989231,LOW,Simo Sikka
75.236,77.54,1008.33,83.92,438.52,Daniel Smithson
11.76,40.96,1023.22,81.31,475.18,Marc Wolf
14.66,47.83,1006.15,91.98,461.46,Antoin Tessier
3o.24o29187284682,67.9093988332512,1091.6509776113824,43.442140060859934,LOW,Simo Sikka
59.126,39.82,1012.78,84.46,471.31,Daniel Smithson
5.71,45.87,1012.04,93.42,482.49,Marc Wolf
28.43,68.08,1011.32,58.19,433.05,Antoin Tessier
7.64,41.17,1020.01,75.14,488.53,Christopher Clapman
13.56,39.58,1011.05,73.62,473.16,Marc Wolf
74.8o4,49.3,1003.3,76.56,439.83,Daniel Smithson
87.674,73.42,1010.98,56.42,432.44,Daniel Smithson
27.47346111278287,73.92173108689711,1017.9091463012567,40.526333715471715,LOW,Simo Sikka
59.o53999999999995,40.66,1016.58,84.08,459.46,Daniel Smithson
13.56,42.34,1017.95,93.83,462.6,Christopher Clapman
26.34,59.21,1013.37,58.98,439.22,Christopher Clapman
16.596o678oo788oo3,46.13538040025803,1075.59317267963,55.804027730944355,LOW,Simo Sikka
74.53399999999999,58.98,1010.99,81.16,444.43,Daniel Smithson
58.747167754831o4,45.477450020877384,1071.9114128632914,96.35749283786939,LOW,Simo Sikka
26.8,72.58,1008.94,78.24,428.62,Christopher Clapman
13.7,43.22,1012.01,71.57,463.99,Christopher Clapman
21.543o96364772374,49.567125001869314,1110.8187759349757,56.151048630950314,LOW,Simo Sikka
29.29,72.58,1007.39,72.85,428.73,Antoin Tessier
2o.72,63.94,1017.17,59.83,447.69,Marc Wolf
22.294185763796722,49.148745670949,954.9987215887551,39.12567687313051,LOW,Simo Sikka
79.178,56.85,1011.45,41.37,439.55,Daniel Smithson
66.74ooooooooooo1,46.93,1014.83,66.71,456.62,Daniel Smithson
78.9o8,65.34,1014.07,57.63,444.55,Daniel Smithson
23.33,72.99,1009.33,89.41,440.04,Marc Wolf
12.18643856o87323,41.57893375964239,1018.3098595994842,85.26484398988754,LOW,Simo Sikka
9.77,41.44,1017.69,78.26,481.74,Antoin Tessier
19.o2271o39o65256,40.95221895038912,951.8241380194715,49.699350153803415,LOW,Simo Sikka
21.28,44.05,1005.69,83.2,444.56,Marc Wolf
8.59o1872213o418,38.88406274459299,1103.8790952951315,81.27271035971226,LOW,Simo Sikka
75.5o6,48.41,1008.46,76.19,442.62,Daniel Smithson
11.92,40.62,1016.66,55.25,468.14,Marc Wolf
61.916ooooooooooo4,54.3,1017.99,63.76,459.59,Daniel Smithson
2o.o6,47.03,1013.66,83.23,461.02,Antoin Tessier
17.32,41.67,1013.23,68.07,462.74,Marc Wolf
8.97,36.24,1013.21,90.77,477.89,Christopher Clapman
31.81,69.88,1007.94,55.91,432.6,Antoin Tessier
54.644,39.72,1017.85,57.74,471.24,Daniel Smithson
18.62,59.15,1012.85,82.54,450.81,Christopher Clapman
65.6o6oooooooooo1,47.83,1005.12,82.97,454.47,Daniel Smithson
21.62,50.05,1007.2,92.9,444.16,Marc Wolf
3o.39,71.8,1010.87,64.11,435.82,Marc Wolf
5.62,41.38,1020.91,86.21,490.83,Christopher Clapman
27.97,66.17,1010.81,63.73,441.7,Christopher Clapman
12.18,40.1,1016.67,91.87,471.49,Christopher Clapman
23.o2,59.21,1011.74,83.18,440.5,Antoin Tessier
24.96,69.68,1011.37,63.12,447.2,Antoin Tessier
26.54,71.98,1005.8,91.16,431.78,Antoin Tessier
13.79,45.08,1023.3,83.59,465.69,Antoin Tessier
31.17,69.51,1010.51,43.11,428.94,Marc Wolf
26.26,63.73,1010.45,70.61,442.18,Christopher Clapman
7.19,38.91,1016.53,88.61,486.05,Antoin Tessier
26.o5,73.88,1005.67,82.08,439.96,Antoin Tessier
22.85,47.43,1008.13,66.36,448.15,Antoin Tessier
58.982,41.35,1004.56,98.9,466.85,Daniel Smithson
11.2,37.5,1013.81,72.81,472.2,Antoin Tessier
14.37,40.56,1021.67,68.18,470.19,Marc Wolf
1o.74,52.75,1021.75,75.41,467.48,Antoin Tessier
72.374,55.97,1008.97,85.98,443.74,Daniel Smithson
2o.o9,61.27,1020.05,70.71,451.43,Antoin Tessier
29.63,69.59,1008.3,72.53,438.64,Antoin Tessier
27.o2,71.77,1006.38,72.1,428.1,Christopher Clapman
16.7,40.56,1019.04,50.9,470.84,Christopher Clapman
6.93,38.68,1017.61,61.28,482.37,Christopher Clapman
25.41,65.12,1016.01,53.39,442.86,Marc Wolf
64.526,63.31,1016.65,72.81,456.5,Daniel Smithson
2o.18,43.43,1011.31,65.11,450.09,Marc Wolf
41.954,40.64,1020.78,97.25,479.88,Daniel Smithson
28.84,74.67,1016.52,67.43,428.98,Christopher Clapman
25.79,65.27,1013.26,55.35,440.04,Marc Wolf
17.76,40.55,1002.82,73.77,461.8,Christopher Clapman
23.62389o95918288,67.65159736917464,950.3286205083432,91.3319172610617,LOW,Simo Sikka
13.26,41.78,1009.77,61.69,467.78,Antoin Tessier
21.43,46.97,1013.94,61.25,457.68,Marc Wolf
79.574,75.33,1004.09,86.48,431.79,Daniel Smithson
26.o8,48.6,1003.61,57.8,438.61,Marc Wolf
79.o88,67.9,1005.81,61.02,444.06,Daniel Smithson
26.37,69.84,1002.71,83.51,428.6,Antoin Tessier
8.o5,38.38,1021.14,86.39,482.17,Christopher Clapman
7.645595974883781,42.5626342820552,1058.2654380374802,92.13554427007207,LOW,Simo Sikka
11.o2,41.17,1018.18,86.86,477.62,Christopher Clapman
27.55,64.96,999.73,57.34,431.33,Christopher Clapman
13.44,41.14,1026.41,77.26,461.44,Christopher Clapman
22.33,70.79,1006.02,93.35,436.74,Christopher Clapman
57.794,43.41,1015.43,55.4,462.94,Daniel Smithson
3o.95,73.06,1008.86,74.86,431.77,Christopher Clapman
44.33,37.49,1011.01,84.53,483.12,Daniel Smithson
45.5597o988o235oo5,42.075298434441585,1075.6003596987325,94.5358061682635,LOW,Simo Sikka
22.18,59.39,1014.82,85.31,440.94,Antoin Tessier
11.22,43.13,1017.24,80.9,473.93,Marc Wolf
48.775999999999996,36.3,1027.67,73.25,479.52,Daniel Smithson
15.65,39.59,1012.8,87.63,461.94,Christopher Clapman
28.o1,73.18,1012.25,75.02,431.02,Antoin Tessier
21.69,57.17,1011.75,82.63,446.61,Antoin Tessier
19.18,58.2,1017.46,76.72,453.2,Marc Wolf
3o.83,77.3,1001.7,57.85,435.87,Marc Wolf
25.1,71.77,1004.34,82.8,429.7,Marc Wolf
17.48,46.21,1014.02,80.78,455.35,Christopher Clapman
12.66,41.2,1015.88,89.12,466.49,Marc Wolf
38.714,39.42,1024.4,82.42,488.58,Daniel Smithson
12.38,43.52,1022.98,100.0,467.55,Marc Wolf
18.63,50.16,1010.21,97.13,450.14,Marc Wolf
77.162,71.58,1010.17,86.01,434.51,Daniel Smithson
11.44,40.55,1023.37,88.43,477.68,Christopher Clapman
78.368,65.48,1017.82,54.77,441.14,Daniel Smithson
19.62,68.63,1012.26,68.05,453.84,Christopher Clapman
25.o2,60.29,1017.49,54.75,445.61,Marc Wolf
2o.35,67.71,1005.85,63.97,446.42,Christopher Clapman
59.99,39.63,1004.98,89.82,466.83,Daniel Smithson
18.37,58.96,1015.5,67.79,460.25,Marc Wolf
53.4o2,40.03,1019.53,89.48,471.85,Daniel Smithson
2o.53,49.16,1007.11,90.02,444.69,Marc Wolf
19.13,66.86,1012.95,71.24,453.31,Christopher Clapman
29.75,74.87,1009.1,56.5,435.61,Antoin Tessier
12.16,45.0,1021.51,50.52,482.99,Christopher Clapman
3o.34,71.25,1000.94,67.29,431.18,Antoin Tessier
12.51,49.83,1008.61,94.27,452.84,Marc Wolf
28.65,70.32,1008.46,58.13,433.45,Christopher Clapman
13.69,34.03,1018.45,65.76,469.12,Antoin Tessier
24.36o31619327594,45.78308463494225,935.6414723432607,46.293826557413105,LOW,Simo Sikka
29.15,73.42,1011.43,66.49,432.26,Christopher Clapman
13.93,44.47,1025.35,81.54,469.25,Christopher Clapman
24.92,63.94,1017.7,44.92,441.07,Christopher Clapman
24.16,48.98,1015.19,42.55,459.27,Antoin Tessier
47.714,39.42,1025.63,69.87,474.44,Daniel Smithson
27.o4,48.41,1008.57,60.73,441.21,Marc Wolf
79.916,76.2,1006.06,69.13,437.81,Daniel Smithson
11.67,40.23,1017.65,82.48,475.07,Christopher Clapman
27.33,51.43,1006.18,67.6,439.12,Christopher Clapman
21.12,47.24,1003.79,70.55,462.41,Marc Wolf
11.o4,45.51,1017.53,83.42,474.45,Christopher Clapman
2o.87,63.31,1012.27,79.51,446.7,Christopher Clapman
12.49,41.62,1011.37,82.68,461.35,Antoin Tessier
57.29,40.71,1016.36,68.58,465.74,Daniel Smithson
76.316,72.24,1011.39,83.94,432.13,Daniel Smithson
5.35,35.57,1027.12,80.81,488.65,Marc Wolf
25.32,60.37,1006.19,73.94,438.5,Antoin Tessier
61.o16ooooooooooo5,45.87,1008.15,86.12,457.41,Daniel Smithson
17.19,43.14,1014.34,68.62,464.72,Marc Wolf
44.996,41.01,1025.19,97.27,476.15,Daniel Smithson
16.69,44.78,1010.41,58.18,456.17,Antoin Tessier
49.478,42.44,1014.29,94.03,481.03,Daniel Smithson
19.66,59.87,1018.75,87.6,446.28,Antoin Tessier
24.9,58.49,1011.06,65.14,444.19,Christopher Clapman
1o.53,37.5,1008.55,99.91,472.32,Christopher Clapman
59.486ooooooooooo4,41.16,1009.0,84.12,467.01,Daniel Smithson
61.142,36.99,1007.37,92.4,462.94,Daniel Smithson
48.992,41.4,1027.64,86.22,473.94,Daniel Smithson
86.792,68.84,1010.97,55.34,438.31,Daniel Smithson
16.o,43.34,1013.89,78.39,462.33,Marc Wolf
19.9255783634o836,60.45828494874803,936.7111002737624,74.27167372594076,LOW,Simo Sikka
41.846ooooooooooo4,38.68,1017.33,72.71,485.7,Daniel Smithson
18.3784548265o1947,38.11924998920827,1101.2521661438782,67.26054236748317,LOW,Simo Sikka
29.24,64.33,1011.5,64.14,440.29,Christopher Clapman
67.69399999999999,51.43,1007.36,91.64,449.45,Daniel Smithson
25.59,72.43,1007.88,82.98,432.49,Marc Wolf
39.182,39.64,1011.53,83.58,492.06,Daniel Smithson
21.32,59.8,1016.26,76.26,452.7,Christopher Clapman
2o.o3,45.01,1012.73,56.89,460.11,Antoin Tessier
68.o,56.53,1020.43,75.94,454.86,Daniel Smithson
14.15,39.28,1013.5,77.63,471.23,Antoin Tessier
15.27,56.89,1013.28,86.92,456.72,Antoin Tessier
9.38,41.44,1015.09,86.8,481.96,Marc Wolf
57.416,41.39,1018.73,76.51,472.88,Daniel Smithson
6.o2,41.38,1021.2,88.71,490.57,Christopher Clapman
24.4,60.32,1016.5,70.96,447.73,Marc Wolf
16.39,41.67,1012.96,61.07,467.68,Christopher Clapman
24.73,65.34,1015.42,52.8,446.92,Antoin Tessier
6.o5,38.68,1017.46,66.13,483.5,Marc Wolf
23.83,71.37,1002.04,64.78,443.29,Christopher Clapman
59.3o6,54.3,1017.38,72.11,464.39,Daniel Smithson
11.1,40.0,1021.29,86.58,477.2,Antoin Tessier
57.775999999999996,45.08,1023.24,84.53,467.21,Daniel Smithson
24.o59429279341o1,66.47017352215433,962.635009960115,55.83844470324013,LOW,Simo Sikka
9.3,40.56,1022.64,76.14,479.87,Antoin Tessier
53.o6,25.36,1008.65,92.11,470.88,Daniel Smithson
65.39,52.84,1004.45,86.82,450.23,Daniel Smithson
4.6872722943o475o5,43.83644729812495,998.7477719778208,100.42207586434145,LOW,Simo Sikka
8o.762,49.3,1003.93,61.0,437.44,Daniel Smithson
74.372,41.1,1002.05,38.05,448.56,Daniel Smithson
54.464,39.85,1012.93,60.23,477.17,Daniel Smithson
24.34,73.5,1011.31,84.15,440.29,Marc Wolf
24.27,70.47,1008.96,78.31,434.24,Marc Wolf
6.o3,41.17,1019.81,84.2,488.57,Marc Wolf
17.77,44.6,1016.97,54.25,460.13,Antoin Tessier
71.2162956665469,66.95081713072788,922.0934855613948,69.71463856708269,LOW,Simo Sikka
19.35,50.12,1005.43,100.1,447.43,Marc Wolf
3o.29,74.16,1008.77,75.23,431.39,Antoin Tessier
18.34,50.59,1018.42,83.95,457.17,Antoin Tessier
18.73416792981689,41.38724865757562,1057.6013363109691,43.602769623552945,LOW,Simo Sikka
15.89,38.73,1001.45,74.37,465.76,Antoin Tessier
23.43,71.97,1009.42,94.27,442.19,Antoin Tessier
2o.83,49.02,1009.45,91.92,445.31,Marc Wolf
25.62,60.29,1017.81,51.24,444.94,Antoin Tessier
25.5,63.91,1009.4,75.22,444.26,Christopher Clapman
57.362,44.84,1023.65,94.29,466.12,Daniel Smithson
24.44,69.13,1011.1,87.62,434.34,Antoin Tessier
25.21,65.34,1013.94,65.04,446.68,Christopher Clapman
9.28,40.22,1009.23,88.43,480.73,Antoin Tessier
25.85,70.36,1005.59,78.23,433.06,Marc Wolf
14.84,41.48,1017.26,63.42,460.3,Marc Wolf
19.69,56.65,1020.82,71.54,453.96,Christopher Clapman
21.55,60.27,1017.42,92.59,443.93,Marc Wolf
27.56,68.08,1010.8,59.18,433.95,Antoin Tessier
26.44,69.34,1009.55,73.18,440.43,Marc Wolf
9.o1,40.77,1022.37,90.3,470.84,Christopher Clapman
26.64,73.56,1004.98,93.31,432.93,Marc Wolf
81.374,56.85,1011.86,36.76,436.64,Daniel Smithson
89.3882292971o378,72.49813225793775,1103.1347821131988,48.908958307808255,LOW,Simo Sikka
12.41,45.87,1004.78,80.02,468.14,Marc Wolf
22.67,68.08,1013.0,66.59,443.79,Marc Wolf
14.46,53.82,1016.55,68.11,462.6,Marc Wolf
19.82,57.85,1011.58,97.23,447.36,Christopher Clapman
69.548,63.73,1008.54,96.83,440.42,Daniel Smithson
59.162,44.34,1019.46,60.49,468.8,Daniel Smithson
31.11,72.25,1012.34,44.45,434.22,Antoin Tessier
21.39,62.96,1019.49,72.24,452.68,Antoin Tessier
19.41,64.45,1009.44,64.05,452.55,Christopher Clapman
23.o8,48.41,1008.44,82.35,443.5,Marc Wolf
8.22,41.82,1032.77,71.63,477.86,Christopher Clapman
12.37,46.97,1013.95,90.76,464.4,Marc Wolf
23.747543434789854,59.36646726310874,1009.8906465162569,35.18422904414999,LOW,Simo Sikka
6o.476,44.88,1018.59,78.88,461.9,Daniel Smithson
13.7576o8372oo818,44.05883797744085,965.8037715760854,89.25399769867049,LOW,Simo Sikka
22.oo158657668o264,68.07217348049501,1092.0289697478265,60.430397417788065,LOW,Simo Sikka
69.242,50.78,1008.71,91.95,447.58,Daniel Smithson
85.6o4,65.74,1012.13,44.96,441.51,Daniel Smithson
23.25,63.78,1016.01,72.01,448.82,Marc Wolf
12.75,42.86,1014.9,88.44,475.09,Antoin Tessier
24.81,59.87,1018.56,61.18,444.89,Christopher Clapman
5.17,35.57,1026.68,79.86,491.32,Marc Wolf
69.872,47.43,1007.15,64.82,450.27,Daniel Smithson
59.o36,42.07,1017.89,83.68,460.82,Daniel Smithson
18.5,41.85,1015.81,64.78,466.8,Antoin Tessier
28.o58122118675165,65.67820162575241,1099.1973559944745,53.693345197418296,LOW,Simo Sikka
31.82,71.29,1008.44,41.7,431.23,Marc Wolf
92.876,72.29,1008.67,46.95,432.13,Daniel Smithson
23.46,51.19,1009.6,73.22,444.82,Marc Wolf
72.95,59.39,1015.4,81.41,440.26,Daniel Smithson
26.o5,65.38,1009.43,52.1,449.82,Marc Wolf
29.65,71.25,1001.07,73.97,430.88,Antoin Tessier
27.99,71.64,1007.79,72.67,437.81,Antoin Tessier
28.61,68.12,1011.71,47.57,432.94,Christopher Clapman
33.123989o8418186,69.9865208547646,1113.3862735068774,39.38267817125641,LOW,Simo Sikka
26.o2,68.67,1006.73,75.19,440.12,Christopher Clapman
3o.18582352473o14,66.67940048895039,1094.4113558696445,67.47139861078404,LOW,Simo Sikka
2.4129o95o1987465,37.73993745678745,1128.5900841910795,66.11805341953921,LOW,Simo Sikka
16.34,42.28,1008.08,52.8,463.29,Antoin Tessier
22.47379o2335o7813,48.352042597689504,934.0782295548686,70.6620989516335,LOW,Simo Sikka
82.922,68.67,1005.46,69.22,436.4,Daniel Smithson
25.9,47.45,1007.8,55.96,443.13,Antoin Tessier
12.88,44.0,1022.71,88.58,470.31,Marc Wolf
2o.42,60.77,1017.65,87.07,447.85,Marc Wolf
29.1,73.4,1011.35,57.31,436.85,Christopher Clapman
27.467641o21522947,57.86148577956099,958.3751850035752,67.66200343548259,LOW,Simo Sikka
21.41,50.32,1008.61,84.47,443.63,Christopher Clapman
23.57,70.04,1011.06,82.79,437.53,Antoin Tessier
19.77,54.42,1011.73,89.26,458.21,Antoin Tessier
25.45,74.33,1015.53,80.95,435.12,Antoin Tessier
28.32,47.93,1003.26,54.5,439.5,Marc Wolf
6.451466869386879,41.08581240686178,947.4924531023131,99.77926248629849,LOW,Simo Sikka
1o.35,39.82,1013.33,94.78,477.14,Antoin Tessier
14.16,44.58,1020.75,77.42,473.22,Christopher Clapman
13.94,41.26,1021.67,74.4,467.9,Christopher Clapman
21.95,68.08,1012.91,69.36,443.93,Christopher Clapman
9.38,43.7,1015.45,90.47,481.52,Marc Wolf
15.87,39.31,1009.95,66.78,460.59,Antoin Tessier
22.o5,48.14,1015.81,69.94,447.37,Christopher Clapman
28.327699o75458693,72.59900866190831,977.5274188440544,74.29680122991002,LOW,Simo Sikka
19.25,43.43,1012.01,73.26,451.08,Antoin Tessier
27.53,72.58,1009.13,89.06,428.83,Marc Wolf
55.1594247o758971,42.82950311657716,990.323049540855,101.88787444247394,LOW,Simo Sikka
3o.55,71.06,1009.33,73.38,432.6,Antoin Tessier
74.948oooooooooo1,63.77,1014.6,82.37,440.58,Daniel Smithson
7.7962o8654165245,38.04537515137201,1015.7296087720395,91.85826431866828,LOW,Simo Sikka
15.415363545644o45,54.26934605955916,1003.1413074633462,63.782981545760826,LOW,Simo Sikka
17.3,58.59,1015.52,87.17,454.88,Marc Wolf
14.3o3329286699o55,46.245038034975884,1029.1347561616183,79.11163531092474,LOW,Simo Sikka
3o.71,68.27,1007.76,68.04,428.27,Antoin Tessier
28.37,75.6,1017.48,55.19,439.25,Christopher Clapman
13.25,44.92,1024.11,89.34,469.18,Marc Wolf
13.95,41.49,1019.95,86.46,465.24,Marc Wolf
5o.3o6,40.1,1014.05,91.9,479.58,Daniel Smithson
25.3,58.46,1015.91,69.71,439.25,Marc Wolf
28.21,73.06,1008.26,86.29,430.46,Marc Wolf
7.o5,43.65,1018.41,72.36,480.47,Antoin Tessier
74.57,66.05,1019.6,78.21,442.9,Daniel Smithson
6.93,43.13,1018.61,88.31,486.94,Christopher Clapman
14.45,39.58,1012.41,79.0,467.62,Antoin Tessier
16.26,44.89,1010.48,86.57,456.86,Marc Wolf
17.o7,41.35,1005.88,83.43,464.6,Marc Wolf
4o.262,39.33,1010.85,71.78,494.9,Daniel Smithson
26.53698653719997,64.62987256604664,948.9877373420346,62.005617157639264,LOW,Simo Sikka
68.5o4,68.63,1012.42,70.31,454.36,Daniel Smithson
6.o6,43.65,1014.36,83.94,480.74,Marc Wolf
18.93,44.06,1017.58,68.23,454.75,Antoin Tessier
8.18,43.69,1017.16,88.16,487.83,Antoin Tessier
27.84,68.08,1013.34,46.19,436.37,Christopher Clapman
25.71,66.05,1018.58,66.23,444.35,Marc Wolf
2o.32,67.71,1007.42,63.71,446.22,Marc Wolf
28.4,59.27,1012.03,59.75,441.64,Marc Wolf
29.52,75.33,1002.62,70.64,433.39,Antoin Tessier
27.16,71.32,1007.81,89.07,430.53,Antoin Tessier
45.968,37.7,1014.82,76.47,480.7,Daniel Smithson
21.o3,59.8,1015.86,76.63,453.86,Christopher Clapman
12.oo195196352o59,36.00929728339787,964.7201146290074,80.62419565040855,LOW,Simo Sikka
26.38,49.5,1012.82,37.19,457.81,Christopher Clapman
21.8,51.3,1012.07,89.51,450.25,Christopher Clapman
21.97,68.12,1012.53,75.12,443.39,Marc Wolf
7o.o16,63.91,1009.33,96.14,447.64,Daniel Smithson
29.35,68.51,1007.63,70.67,430.22,Christopher Clapman
25.14,63.47,1012.58,70.27,443.93,Marc Wolf
81.o86,67.9,1006.36,62.12,436.64,Daniel Smithson
49.19,41.44,1015.07,85.94,481.75,Daniel Smithson
22.834833o36819536,64.38434593193605,967.4273839706893,57.908034617125054,LOW,Simo Sikka
59.936,42.86,1015.09,83.48,467.12,Daniel Smithson
61.448,39.99,1008.91,72.48,462.5,Daniel Smithson
23.63,71.29,1008.01,70.07,442.65,Christopher Clapman
6o.53,49.69,1015.33,89.24,469.4,Daniel Smithson
27.28,72.58,1009.21,89.96,431.27,Marc Wolf
12.34,43.22,1009.28,78.23,468.52,Christopher Clapman
3o.34,75.08,1005.32,52.97,437.26,Christopher Clapman
83.75,64.69,1007.1,60.37,437.94,Daniel Smithson
62.87,43.69,1017.05,63.36,463.88,Daniel Smithson
2o.95,44.89,1010.48,67.97,450.39,Marc Wolf
26.95,70.8,1009.73,82.95,436.8,Christopher Clapman
22.31,51.19,1009.38,79.72,444.74,Marc Wolf
23.36,73.18,1011.96,89.15,435.85,Antoin Tessier
14.66,42.77,1019.37,79.79,463.6,Christopher Clapman
21.11,58.66,1011.7,68.71,457.89,Marc Wolf
29.23,72.99,1007.04,63.47,431.0,Antoin Tessier
58.748ooooooooooo5,44.85,1016.19,67.43,468.87,Daniel Smithson
27.o1,71.25,1000.46,87.95,431.38,Marc Wolf
1o.637524234238398,41.578703016214234,1068.7407781004774,70.50168326503027,LOW,Simo Sikka
31.11,75.33,1002.32,64.25,433.37,Marc Wolf
56.318,39.31,1012.18,75.19,466.46,Daniel Smithson
21.o8,46.93,1014.49,63.33,453.87,Antoin Tessier
67.892,58.96,1014.16,66.27,455.55,Daniel Smithson
24.33,77.54,1008500.0,82.45,435.38,Christopher Clapman
55.31,40.1,1015.31,86.01,471.07,Daniel Smithson
56.948,35.71,1015.21,63.16,471.63,Daniel Smithson
74.21,70.04,1010.99,79.2,436.46,Daniel Smithson
26.16,63.76,1010.03,68.77,437.24,Marc Wolf
52.682,44.2,1018.79,91.14,475.51,Daniel Smithson
25.28,49.5,1013.95,52.79,454.01,Marc Wolf
29.o7,51.43,1006.22,61.58,438.79,Christopher Clapman
